"conversation_id_str,""created_at"",""favorite_count"",""full_text"",""id_str"",""image_url"",""in_reply_to_screen_name"",""lang"",""location"",""quote_count"",""reply_count"",""retweet_count"",""tweet_url"",""user_id_str"",""username""";;
"1986575202772525199,""Fri Nov 07 00:31:58 +0000 2025"",""0"",""@bIopGb83ZI89940 アンちゃんっ^^ おはよぉぉ ギリギリ起きれたんだね！！⊂( ･ω･ )⊃ｾｰﾌ いつもオシャレさん 金曜日よろしくねっ(ෆ`꒳´ෆ)"",""1986592426166030577"","""",""bIopGb83ZI89940"",""ja"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1986592426166030577"",""1486633784401592320"",";;
"1986546105505788008,""Fri Nov 07 00:31:56 +0000 2025"",""0"",""@Aikoro2672251 Anyaさん おはようございます(=^x^=) 声掛けありがとうでしたぁ お互い素敵な１日になります様にです"",""1986592418628837630"","""",""Aikoro2672251"",""ja"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1986592418628837630"",""1522020665632575488"",";;
"1986592414522368296,""Fri Nov 07 00:31:55 +0000 2025"",""0"",""TE AMO TE AMO TE AMO TE AMO TE AMO TE AMO TE AMO https://t.co/vfbRQ384CP"",""1986592414522368296"",""https://pbs.twimg.com/media/G5HLRTkXYAAV0Tk.jpg"","""",""pt"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1986592414522368296"",""313631065"",";;
"1986592409757884935,""Fri Nov 07 00:31:54 +0000 2025"",""23"",""おはようございます あと１週間か ₍₍ ◝('ω'◝) ⁾⁾₍₍ ◝( 'ω' )◟ ⁾⁾₍₍ (◟'ω')◟ ⁾⁾ https://t.co/TLcGlmwog3"",""1986592409757884935"",""https://pbs.twimg.com/media/G5HLRB9aIAArMk3.jpg"","""",""ja"","""",""0"",""2"",""0"",""https://x.com/undefined/status/1986592409757884935"",""1727964427906101248"",";;
"1986467491418427738,""Fri Nov 07 00:31:54 +0000 2025"",""0"",""@sweetmonday2023 HAAAA KAKAGISING KO LANG HAHAHAHHAHAHAHAHAHHA"",""1986592409044861031"","""",""sweetmonday2023"",""tl"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1986592409044861031"",""1773021717121945601"",";;
"1986590169961779304,""Fri Nov 07 00:31:53 +0000 2025"",""1"",""@Nim77AndENGFA @EWaraha มอร์นิ่งเช้าวันใหม่ ตื่นมาโหวตเรียบร้อยแล้วค่ะ UPLIFTING VIBES ENGFA07 #อิงฟ้ามหาชน #EngfaWaraha #อิงฟ้าวราหะ @EWaraha https://t.co/87Zuf3XkSs"",""1986592407773983044"",""https://pbs.twimg.com/media/G5HLQw7aQAALyCS.jpg"",""Nim77AndENGFA"",""th"","""",""0"",""0"",""1"",""https://x.com/undefined/status/1986592407773983044"",""1527885134959345664"",";;
"1986580794043937269,""Fri Nov 07 00:31:50 +0000 2025"",""0"",""@hamchidam ih iya lagi ko bisa mirip gitu vibesnyaaa"",""1986592392083071204"","""",""hamchidam"",""in"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1986592392083071204"",""1864155390440771584"",";;
"1986592390615081243,""Fri Nov 07 00:31:49 +0000 2025"",""1"",""먹을거에 너무 진심이라 배고프단 말만 나와도 짜파게티남편 빙의해서 제발먹여주고싶어상태로 말하는거존뿜이네 이런게 희님이말한 여자친구 생기면 다해주고싶지에 포함되는행위인가...ㅅㅂ https://t.co/8QuScSW76W"",""1986592390615081243"",""https://pbs.twimg.com/media/G5HLP8taIAAYgaT.jpg"","""",""ko"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1986592390615081243"",""1742085776748515328"",";;
"1986363847608074678,""Fri Nov 07 00:31:48 +0000 2025"",""0"",""@yumi_V_BTS ゆみちゃんおはよー わぁ〜昨日はお休みだったのね︎ いいなぁー素敵テテいっぱい ここから離れたくないねㅎㅎ︎ Yunthしちゃたのかな？ 見せてくれてありがとう︎"",""1986592384130617840"","""",""yumi_V_BTS"",""ja"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1986592384130617840"",""1428528512101589001"",";;
"1986592381119107401,""Fri Nov 07 00:31:47 +0000 2025"",""36"",""おはようございます！️ 今日も頑張ろう！ 皆様本日も良い一日をお過ごし下さい！‍️ https://t.co/1pO1Ytxlda"",""1986592381119107401"",""https://pbs.twimg.com/media/G5HLPcRbIAAIr6P.jpg"","""",""ja"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1986592381119107401"",""358712668"",";;
"1986592187262640352,""Fri Nov 07 00:31:47 +0000 2025"",""1"",""행복을 실어나르는 한 송이 꽃.. 분명 나한테는 어울리지 않으니까 (ㅇㅏ 꽃집 주인아)"",""1986592379881791502"","""",""_Ametrines"",""ko"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1986592379881791502"",""2695981124"",";;
"1986577630758653991,""Fri Nov 07 00:31:37 +0000 2025"",""0"",""@DOGINTHEMANGER_ 핰ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아씨개웃"",""1986592341352907251"","""",""DOGINTHEMANGER_"",""ko"","""",""0"",""1"",""0"",""https://x.com/undefined/status/1986592341352907251"",""1879216109259239424"",";;
"1986592337078992962,""Fri Nov 07 00:31:36 +0000 2025"",""0"",""ヤンデレ×希死念慮という不穏雷鉢のイメソンにト/ピ/ア/リ/ー/をオヌヌメしたい"",""1986592337078992962"","""","""",""ja"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1986592337078992962"",""1799146746486087681"",";;
"1986538736910540979,""Fri Nov 07 00:31:34 +0000 2025"",""1"",""@enbaibo_02 ヽ(*´∀｀*)ノ+ﾟおはようございます 今日も笑顔で素敵な一日を お過ごし下さい＼(^_^)／"",""1986592325552984500"","""",""enbaibo_02"",""ja"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1986592325552984500"",""1039063154"",";;
"1986561883286176200,""Fri Nov 07 00:31:32 +0000 2025"",""1"",""@ochiyunn ちゅんたん おはようございます 今日も１日宜しくお願いします ちゅんたんのイマソラやわ"",""1986592317009285366"","""",""ochiyunn"",""ja"","""",""0"",""1"",""0"",""https://x.com/undefined/status/1986592317009285366"",""1448054021680353283"",";;
"1976784637268836714,""Fri Oct 10 22:59:19 +0000 2025"",""0"",""wts want to sell new mini postcard set minji hanni danielle haerin hyein njz newjeans x indomie 15k idr or 2000 won for set 7pcs have 50 set worldwide shipping from Indonesia 민지 하니 다니엘 해린 혜인 뉴진스 포토카드 양도 https://t.co/wPe00oJ4HG"",""1976784637268836714"",""https://pbs.twimg.com/media/G27zIaobwAAOOiB.jpg"","""",""ko"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1976784637268836714"",""1520962718240366592"",";;
"1976629263513399348,""Fri Oct 10 12:41:55 +0000 2025"",""0"",""wts want to sell new mini postcard set minji hanni danielle haerin hyein njz newjeans x indomie 15k idr or 2000 won for set 7pcs have 50 set worldwide shipping from Indonesia 민지 하니 다니엘 해린 혜인 뉴진스 포토카드 양도 https://t.co/d4UE2k0kSR"",""1976629263513399348"",""https://pbs.twimg.com/media/G25l1GFacAEu8RB.jpg"","""",""ko"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1976629263513399348"",""1520962718240366592"",";;
"1976489638530515263,""Fri Oct 10 03:27:05 +0000 2025"",""0"",""wts want to sell new mini postcard set minji hanni danielle haerin hyein njz newjeans x indomie 15k idr or 2000 won for set 7pcs have 50 set worldwide shipping from Indonesia 민지 하니 다니엘 해린 혜인 뉴진스 포토카드 양도 https://t.co/IAgA96HApk"",""1976489638530515263"",""https://pbs.twimg.com/media/G23m2B7aQAA27Mu.jpg"","""",""ko"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1976489638530515263"",""1520962718240366592"",";;
"1976427119128596892,""Thu Oct 09 23:18:40 +0000 2025"",""0"",""wts want to sell new mini postcard set minji hanni danielle haerin hyein njz newjeans x indomie 15k idr or 2000 won for set 7pcs have 50 set worldwide shipping from Indonesia 민지 하니 다니엘 해린 혜인 뉴진스 포토카드 양도 https://t.co/OB3PQSS4M9"",""1976427119128596892"",""https://pbs.twimg.com/media/G22t-hVasAA29d-.jpg"","""",""ko"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1976427119128596892"",""1520962718240366592"",";;
"1976247839077634275,""Thu Oct 09 11:26:16 +0000 2025"",""0"",""wts want to sell new mini postcard set minji hanni danielle haerin hyein njz newjeans x indomie 15k idr or 2000 won for set 7pcs have 50 set worldwide shipping from Indonesia 민지 하니 다니엘 해린 혜인 뉴진스 포토카드 양도 https://t.co/b9xmPPl0hM"",""1976247839077634275"",""https://pbs.twimg.com/media/G20K7XCa8AAGTrD.jpg"","""",""ko"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1976247839077634275"",""1520962718240366592"",";;
